year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2008,Suzuki,XL7,Premium,SUV,automatic,2s3da217786110022,ut,,88297.0,black,gray,markosian auto  inc,4950.0,4700.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2008,Saturn,Outlook,XE,SUV,automatic,5gzer13768j289559,ne,,86274.0,gray,black,spangler automotive,8850.0,8200.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k38u062303,fl,36.0,94380.0,white,gray,gm financial,8425.0,8200.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2008,Toyota,Highlander Hybrid,Limited,SUV,automatic,jteew44ax82015728,fl,39.0,91189.0,silver,gray,stadium toyota inc,16250.0,15000.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
2008,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c88s104246,nj,,143161.0,blue,—,global auto inc,5350.0,4100.0,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Highlander,Base,SUV,,jtees41a882030499,pa,43.0,152190.0,beige,beige,adcock brothers inc,10800.0,13100.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2008,Toyota,FJ Cruiser,Base,SUV,,jtebu11f480103063,mn,,88109.0,red,—,carlson toyota,16900.0,16500.0,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
2008,Toyota,Prius,Base,Hatchback,automatic,jtdkb20u783310156,la,,133683.0,gray,gray,american auto brokers inc,6350.0,7000.0,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
2008,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tfdv58108x060540,nv,37.0,98610.0,silver,gray,intermountain auto sales,21800.0,24250.0,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2008,Toyota,Highlander,Sport,SUV,,jtees43a082030767,pa,32.0,114620.0,white,gray,sports car leasing,13050.0,11900.0,Fri Jan 09 2015 01:00:00 GMT-0800 (PST)
